insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
Shriram Kavitark Ram,Director,-12000.0,01/31/2025,S,12000.0,205.0,288400.0,2460000.0,8.52981969486824
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,337680.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,320864.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,319344.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,319344.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,320864.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,338600.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,757226.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,301.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,1124.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,1723.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,1673.0,0.0,0.0
ARNOLD FRANCES,Director,-110.0,01/30/2025,S,110.0,200.0,16819.0,22000.0,1.3080444735120995
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,301.0,0.0,0.0
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,1124.0,0.0,0.0
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,1723.0,0.0,0.0
ARNOLD FRANCES,Director,0.0,,,0.0,0.0,1673.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",1340.0,01/25/2025,C,1340.0,0.0,19188.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-1340.0,01/25/2025,C,1340.0,0.0,4189.0,0.0,0.0
