insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
SEAWELL A BROOKE,Director,0.0,,,0.0,0.0,2000000.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",-4918.0,06/24/2025,S,4918.0,146.1433,75668307.0,718732.7494000001,0.009498464785263401
HUANG JEN HSUN,"Director, President and CEO",-42013.0,06/24/2025,S,42013.0,147.1666,75626294.0,6182910.3658,0.08175609353275991
HUANG JEN HSUN,"Director, President and CEO",-3069.0,06/24/2025,S,3069.0,147.7522,75623225.0,453451.50179999997,0.005996193653470874
HUANG JEN HSUN,"Director, President and CEO",-3043.0,06/25/2025,S,3043.0,149.8507,75620182.0,455995.68009999994,0.006030079114329558
HUANG JEN HSUN,"Director, President and CEO",-6429.0,06/25/2025,S,6429.0,151.0466,75613753.0,971078.5914,0.01284261860934214
HUANG JEN HSUN,"Director, President and CEO",-24866.0,06/25/2025,S,24866.0,151.8086,75588887.0,3774872.6476000003,0.04993951885546351
HUANG JEN HSUN,"Director, President and CEO",-11499.0,06/25/2025,S,11499.0,152.6631,75577388.0,1755472.9869,0.02322748950916377
HUANG JEN HSUN,"Director, President and CEO",-28277.0,06/25/2025,S,28277.0,153.7151,75549111.0,4346601.8827,0.05753346168031018
HUANG JEN HSUN,"Director, President and CEO",-886.0,06/25/2025,S,886.0,154.352,75548225.0,136755.872,0.0018101798156078452
HUANG JEN HSUN,"Director, President and CEO",-11324.0,06/26/2025,S,11324.0,154.7779,75536901.0,1752704.9396,0.02320329423628327
HUANG JEN HSUN,"Director, President and CEO",-54331.0,06/26/2025,S,54331.0,155.6449,75482570.0,8456343.061900001,0.112030407309926
HUANG JEN HSUN,"Director, President and CEO",-9345.0,06/26/2025,S,9345.0,156.2868,75473225.0,1460500.146,0.01935123543481811
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,582503470.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,49489560.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,22280000.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,50078000.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,29512185.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,29512185.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,10000000.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,10000000.0,0.0,0.0
SEAWELL A BROOKE,Director,-8674.0,06/20/2025,S,8674.0,143.2326,1991326.0,1242399.5724,0.623905665069406
SEAWELL A BROOKE,Director,-17844.0,06/20/2025,S,17844.0,144.1641,1973482.0,2572464.2004,1.3035154110349119
SEAWELL A BROOKE,Director,-20921.0,06/20/2025,S,20921.0,145.3569,1952561.0,3041011.7049,1.5574477339760446
