filing_date,filing_year,filing_quarter,institution_name,institution_cik,accession_number,ticker,form_type
2014-02-14,2014,Q1,State Street Corp,0001418814,0001418812-14-000006,NVDA,13F-HR
2014-02-14,2014,Q1,Berkshire Hathaway Inc,0001067983,0000950123-14-002615,NVDA,13F-HR
2014-02-13,2014,Q1,Fidelity Management & Research,0000315066,0000315066-14-001823,NVDA,13F-HR
2014-02-12,2014,Q1,Vanguard Group Inc,0001364742,0001086364-14-002230,NVDA,13F-HR
2013-11-14,2013,Q4,State Street Corp,0001418814,0001418812-13-000076,NVDA,13F-HR
2013-11-14,2013,Q4,Berkshire Hathaway Inc,0001067983,0000950123-13-009777,NVDA,13F-HR
2013-11-14,2013,Q4,Fidelity Management & Research,0000315066,0000315066-13-004720,NVDA,13F-HR
2013-11-12,2013,Q4,Vanguard Group Inc,0001364742,0001086364-13-004304,NVDA,13F-HR
2013-08-15,2013,Q3,State Street Corp,0001418814,0001418812-13-000057,NVDA,13F-HR
2013-08-15,2013,Q3,Berkshire Hathaway Inc,0001067983,0000950123-13-006925,NVDA,13F-HR
2013-08-14,2013,Q3,Fidelity Management & Research,0000315066,0000315066-13-003630,NVDA,13F-HR
2013-08-13,2013,Q3,Vanguard Group Inc,0001364742,0001086364-13-004117,NVDA,13F-HR
2013-05-15,2013,Q2,Berkshire Hathaway Inc,0001067983,0001193125-13-222307,NVDA,13F-HR
2013-05-15,2013,Q2,Fidelity Management & Research,0000315066,0000315066-13-003278,NVDA,13F-HR
2013-05-14,2013,Q2,State Street Corp,0001418814,0001418812-13-000037,NVDA,13F-HR
2013-04-18,2013,Q2,Vanguard Group Inc,0001364742,0001086364-13-003675,NVDA,13F-HR
2013-02-15,2013,Q1,State Street Corp,0001418814,0001418812-13-000006,NVDA,13F-HR
2013-02-14,2013,Q1,Berkshire Hathaway Inc,0001067983,0001193125-13-060317,NVDA,13F-HR
2013-02-14,2013,Q1,Fidelity Management & Research,0000315066,0000315066-13-003044,NVDA,13F-HR
2013-02-12,2013,Q1,Vanguard Group Inc,0001364742,0001086364-13-003622,NVDA,13F-HR
2012-11-14,2012,Q4,Berkshire Hathaway Inc,0001067983,0001193125-12-470800,NVDA,13F-HR
2012-11-14,2012,Q4,State Street Corp,0001418814,0001418812-12-000077,NVDA,13F-HR
